mal_id,titles,type,genre_1,genre_2,source,studios,episodes,rating,score,audicence_rank,scored_by,rank,members,favorites,synopsis,airing,genres,year,season,status
4074,"Arano no Sakebi Koe: Hoero, Buck",TV Special,Adventure,Drama,Novel,Toei Animation,1.0,G - All Ages,6.46,12019,506.0,7383.0,1556,3,"Based on the novel by Jack London.

Buck, a half German Shepherd half Saint Bernard who's life is pretty peaceful and happy living with the Millers’ in California. However, one day he is tricked and sold off. He ends up in the snowy North where he has become a sled dog during the Gold Rush. His story takes many twists and turns and he has to fight for his own survival.

(Source: ANN)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",,,Finished Airing
8554,Hashire Melos (1981),TV Special,Drama,,Novel,Toei Animation,1.0,PG-13 - Teens 13 or older,5.47,12112,472.0,11812.0,1509,0,"Melos, a Greek country man gets arrested accused of conspiracy against the king. The king gives him three days to travel to his sister's wedding while Selinentius the sculptor and friend of Melos stays as a hostage. Will he get back in time before the king executes Selinentius instead of him?",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",,,Finished Airing
4574,Saikyou Robot Daiouja,TV,Action,Sci-Fi,Original,Sunrise,50.0,PG-13 - Teens 13 or older,6.94,12653,390.0,4739.0,1261,2,"This is the story of Mito Mitsukuni in mecha style. Prince of the Edon Star, Edward Mito begins a trip to the galaxy with his servant Baron Kalkus, Duke Skead and the ninja girl Shinobu. Under the false identity of Bocchan, Suke and Kaku they help the oppressed people and fight with the super robot Daioja.",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,winter,Finished Airing
31257,Spacy,Movie,Avant Garde,,Original,,1.0,G - All Ages,5.61,13424,465.0,11409.0,1012,7,Film by Takashi Ito.,,,,,
5581,"Kaitei Daisensou: Ai no 20,000 Miles",TV Special,Action,Adventure,Novel,Tatsunoko Production,1.0,G - All Ages,5.43,14331,246.0,11896.0,780,2,"All the nations of Earth are crumbling before the might of Darius, ruler of the Gabia Empire. Meanwhile, childhood friends Ben and Ricky are sailing on the oceans is search of the lost city of Atlantis. When their ship is sunk they are saved by Captain Nemo in his submarine Nautilus.

(Source: ANN)",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}]",,,Finished Airing
39369,Koutsuu Anzen da yo Doraemon,Movie,Sci-Fi,,Manga,,2.0,G - All Ages,6.04,14730,245.0,9619.0,687,0,"A traffic safety anime starring the cast of Doraemon. 

The first episode is roughly 16 minutes long and available for loan for Japanese educators from various libraries and city halls. 

The second episode was discovered through an auction website, the seller provided some images and stated that he estimates it to be 10 minutes long but feared the 16mm film would fall apart due to age if he continued handling it.",,,,,
23779,Akuma to Himegimi,Movie,Comedy,,Unknown,Toei Animation,1.0,PG-13 - Teens 13 or older,,15275,,15476.0,597,1,"Adapted from a fairy tale by Yoshida Akimi.

(Source: AniDB)",,,,,
16730,Ojamanga Yamada-kun (Movie),Movie,Comedy,Slice of Life,Unknown,,1.0,,6.07,15693,141.0,9498.0,542,0,,,,,,
23569,Kagirinaki Rakuen,Movie,Slice of Life,,Original,,1.0,R - 17+ (violence & profanity),6.34,15810,106.0,8085.0,527,4,"A young man is beaten down by both bullies and an oppressive, militaristic school system. At first he retreats into daydreams and fantasies in order to cope but eventually decides to rebel.",,,,,
8729,Omoide no Album,Music,Slice of Life,,Original,,1.0,G - All Ages,4.88,15991,247.0,,507,0,"This is a song meant for a kindergartener's graduation ceremony. Many tears will be shed this season for the students moving up to Junior high school, leaving 6 years of fun, frolic, and memories behind. But the circle begins again for the fresh-faced, cute little 6-year-olds to start the journey that each child must inevitably travel.

(Source: dandelionjp - YouTube)",False,"[{'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",,,Finished Airing
9416,Renshenguo,Movie,,,Unknown,Shanghai Animation Film Studio,1.0,G - All Ages,6.2,16195,150.0,8825.0,486,1,The second part of the trilogy about adventures of the King of monkeys.,,,,,
22977,Kaibutsu-kun: Kaibutsu Land e no Shoutai,Movie,Comedy,Horror,Unknown,Shin-Ei Animation,1.0,G - All Ages,5.97,16554,132.0,9905.0,452,0,"Based on the shounen manga by Fujiko Fujio.

Note: Screened as a double feature with Doraemon: Nobita no Uchuu Kaitakushi.

(Source: AniDB)",,,,,
21475,Ikkyuu-san: Haru Da! Yancha Hime,Movie,Comedy,,Unknown,Toei Animation,1.0,G - All Ages,6.08,16686,111.0,9430.0,439,0,Ikkyuu must help the princess once again as she doesn't have any table manners. Without them she won't be able to attend the plum blossom viewing party.,,,,,
16620,Robot King,Movie,Action,,Unknown,,1.0,,5.24,17309,134.0,12358.0,393,0,Five kids pilot a giant robot to defeat evil space aliens and their devilish space mecha.,,,,,
2222,Dr. Slump: Arale-chan,TV,Comedy,Sci-Fi,Manga,Toei Animation,243.0,PG-13 - Teens 13 or older,7.29,5242,6156.0,2890.0,16470,78,"Dr. Slump creates a little android girl, Arale, who is very strong, happy, and totally common senseless. They live in Penguin Village where the strangest things happen (e.g., the dawn is announced by a little pig wearing a basquee)

(Source: ANN)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,spring,Finished Airing
1448,Hyakujuu-Ou GoLion,TV,Adventure,Sci-Fi,Original,Toei Animation,52.0,PG-13 - Teens 13 or older,6.91,5773,6110.0,4858.0,12841,53,"Golion, a powerful sentient robot, abuses his great powers by attacking and killing creatures known as Deathblack Beastmen, boasting that no one could defeat him. A divine space being punishes Golion for his arrogance and abuse by seperating him into 5 different lion robots. In the year 1999, a group of 5 young men return to Earth after a space voyage, only to find it ravaged by nuclear war. After encountering the alien race known as the Galra, the 5 youths end up on the planet Altea, and learn that the 5 lion robots that Golion was split into are in hibernation in various parts of Altea. Somehow, they must reunite the lions and form Golion, the only hope for the human race.

(Source: ANN)

About Voltron (U.S.)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,spring,Finished Airing
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
5832,Tiger Mask Nisei,TV,Drama,Sports,Manga,Toei Animation,33.0,R - 17+ (violence & profanity),7.43,7526,3138.0,2192.0,6720,24,"Second season to the original Tiger Mask, with a different cast of characters.",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1981.0,spring,Finished Airing
2799,Hello! Sandybell,TV,Adventure,Romance,Original,Toei Animation,47.0,G - All Ages,7.11,7580,3140.0,3930.0,6619,31,"Sandybell is a playful girl from Scotland. She is happy even if her mum died when she was little. Past secrets begin to reveal after Sandybell gets a white lily from a rich lady. After a tragic act Sandybell moves to London where she is trying to find clues to her past.

(Source: ANN)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}]",1981.0,spring,Finished Airing
1548,Shin Taketori Monogatari: 1000-nen Joou,TV,Drama,Mystery,Manga,Toei Animation,42.0,G - All Ages,7.32,7860,1556.0,2738.0,6027,28,"The year is 1999. Amamori Hajime is just a normal, everyday elementary school student, trying to study and hanging out with his crazy pals. But then one day as his father is testing a piece of equipment he has been working on, something causes it to blow up, taking the house with it! Now orphaned, Hajime is taken in by his uncle, who is an astronomer. There at his uncle's observatory, he meets a girl he's seen before and developed somewhat of a crush on. He finds out her name is Yukino Yayoi, and her parents run a ramen shop in town. But even better than that, she's his uncle's assistant! What luck! 

But Yayoi isn't exactly what she seems. There is a reason she helps out Amamori-san at the observatory. She is the Millennial Queen (Sen-Nen Joou), specially chosen by her home planet, LaMetal, to go to Earth and help prepare for the possible annihilation of the planet. What will cause this disaster? LaMetal has an extremely elliptical orbit, which sends it very, very near Earth every 1000 years. When it gets close enough, the earth reacts, causing all sorts of natural disasters. Although she was chosen with the idea of protecting LaMetal in mind, her personal plan is to evacuate as many humans as she can to LaMetal, so if their planet is destroyed, they will survive. 

However, there is one person who strives to stop her plan, the head of the Millennial Theives. Why does he want to stop Yayoi? And how does he know about the Millennial Queen, anyway? 

(Source: AniDB)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 7, 'type': 'anime', 'name': 'Mystery', 'url': 'https://myanimelist.net/anime/genre/7/Mystery'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,spring,Finished Airing
3946,Jarinko Chie,Movie,Comedy,Drama,Manga,Tokyo Movie Shinsha,1.0,PG-13 - Teens 13 or older,7.04,8716,1869.0,4275.0,4655,8,"Jarinko Chie is a movie directed by Takahata in 1981. Based on the very popular manga by Etsumi HARUKI, it is about ten year old Chie, ""the most unfortunate girl in Japan"", who manages her family diner while her unemployed yakuza father and her mother are separated. This sounds really depressing, but it's actually a very funny comedy. 

The story is set in Osaka, which has a totally different culture from Tokyo. After the success of the movie, a TV series was made, and Takahata worked as the chief director.

(Source: nausicaa.net)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",1981.0,,Finished Airing
3836,Meiken Jolie,TV,Adventure,,Novel,Visual 80,52.0,G - All Ages,6.93,9255,1417.0,4742.0,3852,9,"After befriending a white Pyrenees dog he names Belle, Sebastian sets out on a journey to find the mother he knows is still alive. 

(Source: ANN)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}]",1981.0,spring,Finished Airing
2912,Ohayou! Spank,TV,Comedy,Slice of Life,Manga,TMS Entertainment,63.0,G - All Ages,7.35,9839,1756.0,2549.0,3179,23,"Morimura Aiko is a junior high school student who is short for her age. Her father went on a yacht ten years ago and his whereabouts remained in obscurity. Her mother, a designer for hats, left for Paris, leaving Aiko in the care of her uncle, Mr Fujinami. Aiko had a pet dog, Papi, but it died in a car accident. Around the same time, another dog, Spank, appears before her. Having gone through so many unfortunate events in her life, Spank's presence begins to brighten up Aiko's life and put a smile on her face.

(Source: ANN)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1981.0,spring,Finished Airing
3835,Ai no Gakkou Cuore Monogatari,TV,Drama,Slice of Life,Novel,Nippon Animation,26.0,G - All Ages,6.8100000000000005,10282,849.0,5398.0,2750,5,"Enrico Pocchini is a kind-hearted schoolboy with a strong sense of justice who lives in the Italian town of Torino. As a new term starts, he loses his beloved teacher, Miss Delacci, who is replaced by the stern Sr. Pelboni. Eventually, the boys in Enrico's class come to respect Sr. Pelboni, and learn about love, life and human kindness.

(Source: AniDB)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1981.0,spring,Finished Airing
4132,Wakakusa no Yon Shimai,TV,Drama,Slice of Life,Novel,Toei Animation,26.0,G - All Ages,6.74,11670,651.0,5786.0,1765,2,"In the United States, the Civil War has just broken out and Mr March, a physician and father of four daughters, went to the front. Madam March remains alone with her four daughters: the eldest Margaret (Meg), Josephine (Jo) budding writer, a real boy failed, Elisabeth (Beth), the timid passionate piano, and the latest addition, Amy, who loves to draw. The four girls will quickly get to know their neighbor Mr. Lawrence, which they had a little scared at first, but also to his grandson Laurie who at the age of Jo. Together, they go through many hardships, more or less happy, the furies of Aunt March, jealousies, the joys and the war in fabric background, hoping that their father will come back safe and sound...

(Source: Planete Jeunesse)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1981.0,spring,Finished Airing
7106,Ougon Senshi Gold Lightan,TV,Action,Adventure,Original,Tatsunoko Production,52.0,PG-13 - Teens 13 or older,6.42,12347,305.0,7648.0,1393,3,"When a young boy called Hiro finds what appears to be a broken lighter in an empty field, it changes his life forever. This lighter is actually the Gold Lightan, a robot that fell to Earth from the Robot Dimension. When called upon to defend the Earth from Ivalda the Great's evil robots, Gold Lightan transforms into a giant super robot, known as the Golden Warrior. Gold Lightan joins forces with Hiro's and his gang, the One Pack Rangers to protect the Earth from the evil schemes of Ivalda the Great and his armored forces.",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,spring,Finished Airing
10755,Lupin tai Holmes,TV Special,Mystery,,Unknown,Toei Animation,1.0,PG-13 - Teens 13 or older,6.03,13057,240.0,9638.0,1126,1,Based on a story by Maurice Leblanc.,,,,,
6728,Helen Keller Monogatari: Ai to Hikari no Tenshi,TV Special,Drama,,Unknown,,1.0,G - All Ages,6.34,13412,278.0,8095.0,1013,1,Based on Hellen Keller's (1880-1968) autobiography.,False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}]",,,Finished Airing
4440,Sugata Sanshirou,TV Special,Sports,,Novel,Tokyo Movie Shinsha,1.0,PG-13 - Teens 13 or older,6.17,13562,242.0,8955.0,973,2,"In the year 1882, Sanshirou comes to Tokyo seeking for a worthy martial arts teacher. There, he meets Yano - a judo master who single-handedly defeats 39 jujitsu practitioners. Extremely impressed by his skill, Sanshirou decides to become his disciple. Later, Sanshirou falls for Sayo Murai - a girl whose father is a martial arts instructor at the local police department; and he also has to face Higaki Gennosuke, a skilled jujitsu fighter and his greatest rival.

Based on a novel by Tsuneo Tomita, which was adapted into a 1943 movie by young Akira Kurosawa.

(Source: AniDB)",False,"[{'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",,,Finished Airing
6727,Mechakko Dotakon,TV,Comedy,Sci-Fi,Unknown,,28.0,G - All Ages,6.11,14495,165.0,9274.0,744,0,"Geeky genius Michiru has already got her Ph.D. in atomic physics (from California university) by the age of 11. 
But she still longs for a little brother, so she builds her own. Robot boy Dotakon is soon joined by their little robot sister, Chopiko, and the trio embarks on a series of fantastic adventures fueled by Michiru's inventions.",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,spring,Finished Airing
20093,Furiten-kun,Movie,Comedy,Slice of Life,Unknown,Knack Productions,1.0,R+ - Mild Nudity,6.0,15959,125.0,9793.0,512,0,Based on the yonkoma manga by Ueda Masashi.,,,,,
5594,Fuusen no Doratarou,TV,,,Original,Nippon Animation,13.0,G - All Ages,,16676,,16936.0,439,0,"After many years of wandering, Tarou returns to Cat Island to meet his sister, Sakura, who has stayed with their adoptive parents. Though his family is pleased to see him, they all come to realise that the long separation has seen them grow into different people.

(Source: The Anime Encyclopedia)",False,[],1981.0,spring,Finished Airing
11625,Donbe Monogatari,TV Special,,,Unknown,Eiken,1.0,G - All Ages,,16965,,16597.0,417,1,"Researcher Mutsugoro takes his family to a remote and uninhabited island near Hokkaido, to study the local population of wild bears. Nearby poachers make his life difficult, and he ""inherits"" an orphaned bear cub, whom the family call Donbe and raise as one of their own.",,,,,
56846,Dixie Wonderland,Music,,,Original,,1.0,G - All Ages,,25367,,,63,0,"Music video for the song Dixie Wonderland by Yoshio Toyama and Youichi Toyama, that was featured on NHK's Minna no Uta program.",,,,,
1091,Kidou Senshi Gundam II: Ai Senshi-hen,Movie,Action,Drama,Original,Sunrise,1.0,PG-13 - Teens 13 or older,7.34,3732,21856.0,2609.0,35844,48,"As the War continues, Amuro and the White Base crew must make their way toward the Earth Federation Headquarters, Jaburo. On their way they meet several new enemies and face off against impossible odds. They fight in Operation Odessa to relieve the Earth from the clutches of the Zeon forces.

Lives are lost, new friendships are made, and discoveries at every corner. Amuro soon learns that he possesses the powers of the mysterious Newtypes.

(Source: Otakufreakmk2)",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,,Finished Airing
2724,Daicon Opening Animations,Special,Action,Adventure,Other,Gainax,2.0,PG - Children,7.73,4756,11720.0,1185.0,21138,194,"Daicon III Opening Animation
An unnamed girl watches as the Science Patrol lands their aircraft. A masked individual exits the ship and approaches the girl, entrusting her with a cup of water and a simple task: to water a radish. The girl enthusiastically accepts her mission but is obstructed by a multitude of foes. Faced with waves of unrelenting monsters, mechas, and starfighters, can the young heroine protect the cup of water and make it to the radish unharmed? 

Daicon IV Opening Animation
Clad in a Playboy Bunny suit, an older version of the same girl takes on new and notable adversaries from around the galaxy. From dueling with lightsabers to surfing the magical sword Stormbringer, there is no shortage of action!

Set to Electric Light Orchestra's ""Twilight,"" the Daicon IV Opening Animation is a grand tribute to science fiction culture, showcasing hundreds of familiar characters in one spectacular bout. 

[Written by MAL Rewrite]",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,,Finished Airing
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
2029,Sirius no Densetsu,Movie,Drama,Fantasy,Book,Sanrio,1.0,PG-13 - Teens 13 or older,6.78,7900,2087.0,5576.0,5954,19,"Gods once lived on earth, and two siblings, Oceanus - God of Water, and Hyperia - Goddess of Fire, lived in peace and dearly loved each other. However, the God of Wind, Algaroc, become jealous of the pair's happiness, and spread lies and deceit between them until their hatred for each other brought about war. 

Finally, Algaroc was imprisoned by the King of Gods, but after that time, the brother and sister still despised each other, so the Children of Fire and Water forever remained apart. But, then Prince Syrius of the Water and Princess Malta of the Fire meet and fall in love. The love of Syrius and Malta may not be enough to surpass their parents' hatred. Whether they can stay together forever may be impossible 

(Source: AniDB)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}]",,,Finished Airing
2922,Ashita no Joe 2 (Movie),Movie,Drama,Sports,Manga,Tokyo Movie Shinsha,1.0,PG-13 - Teens 13 or older,7.26,8308,1734.0,3062.0,5297,10,"It has been six months since the tragic accident in Joe and Rikiishi's fight. Joe believes he has overcomed Rikiishi's death and decides to make a comeback. Joe does make a successful comeback by scoring 5 KO's by body blows. Joe is then given a shot at the national title as a means by the boxing commission to put him down. The champion, Tiger Ozaki makes use of Joe's habits and ends up making Joe's corner throw in the towel. Joe is afraid to throw punches at the face because of what happened to Rikiishi. Youko, Joe's love interest and the owner of the gym where Rikiishi trained at recruits a world ranked boxer from Venezuela, Carlos Rivera, to get Joe back on his feet and pursue his boxing career to the regional and world ranks. 

(Source: ANN)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1981.0,,Finished Airing
2510,Sengoku Majin Goushougun,TV,Action,Sci-Fi,Original,Ashi Productions,26.0,PG-13 - Teens 13 or older,7.02,9563,938.0,4365.0,3486,4,"A meteor strikes the Earth and is found to emanate a powerful new energy called Beamler, which is used to power a battle robot, GoShogun, and a teleporting fortress, Good Thunder. The Docougar Crime Syndicate, lead by crime lord Neo Neros, try to steal the secret of the energy from the inventor of GoShogun, but he kills himself rather than let them acquire it. His son is targeted by Neo Neros next, but he is taken in by the crew aboard Good Thunder, who travel the world fighting NeoNeros's forces with GoShogun. 

(Source: Wikipedia)",False,"[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",1981.0,summer,Finished Airing
7666,Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,Movie,Comedy,Sci-Fi,Manga,Toei Animation,1.0,PG-13 - Teens 13 or older,6.5,10528,1094.0,7216.0,2549,0,"Professor Senbei finds a videotape of his deceased father providing instructions on how to create a love potion. The main ingredient is a tear of the evil Gyaasuka Daimao who lives at the Wonder Island. To retrieve it, Senbei takes Arale and Gatchan on a wacky adventure.

(Source: ANN)",False,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",,,Finished Airing
2650,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",Movie,Adventure,Fantasy,Unknown,Shin-Ei Animation,1.0,PG - Children,6.61,10601,1142.0,6535.0,2488,0,"As a summer assignment, Nobita has to research the past of his town. Together with Doraemon, they use a gadget called time camera to take photos of the town sights from various time periods. To their great surprise, the last photo they take depicts Japanese folk hero Momotaro pulling a cart laden with treasure.

Later, Nobita's mom encounters a foreigner who shows the kids a small picture of a person dressed as samurai. The picture looks almost like a photo, and the person in the picture looks exactly like Momotaro. The foreigner has inherited this picture from his ancestors, and he has come to Japan in order to learn the truth about its origins.

Nobita begins to think that Momotaro might have been a real person. In order to solve the mystery, he travels to the past of Japan along with Doraemon, Shizuka, Takeshi and Suneo.

(Source: animania.co.uk)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",,,Finished Airing
6978,Kyoufu Densetsu Kaiki! Frankenstein,TV Special,Drama,Horror,Novel,Toei Animation,1.0,R - 17+ (violence & profanity),5.63,11257,726.0,11324.0,2026,2,"Airing on TV Asahi in 1981, with a running time of 111 minutes, Frankenstein is a reasonably standard retelling of the classic book by Mary Shelley. In a foreboding castle scientist Dr. Victor Frankenstein performs a hideous experiment which he hopes will bring the dead back to life. With the help of his assistant he is successful in reanimating a man recreated from parts gathered from corpses but the creature is unpredictable and horrifying. The doctor flees back to his home in Switzerland leaving his assistant in charge of destroying the monster. But Dr. Frankenstein soon finds that he cannot hide from his shameful secret forever as mysterious murders are committed around him forcing him to question if his creation really is dead and gone...",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 14, 'type': 'anime', 'name': 'Horror', 'url': 'https://myanimelist.net/anime/genre/14/Horror'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",,,Finished Airing
